Keyword	Category
ALBERT	Groceries
Qerko	Restaurant/Cafe
PEPCO	Clothes / Accessories /Decoration
Tesco	Groceries
KITOS	Clothes / Accessories /Decoration
KIK	Furniure
KNIHKUPECTVI	Education
Velky	Clothes / Accessories /Decoration
KOH-I-NOOR	Clothes / Accessories /Decoration
APPLE.COM/BILL	Subscription
Lidl	Groceries
NEU*MIXA	Restaurant/Café
Kofi	Kava
Sodexo	Enterteinment
SPARKYS	Toys
MILADY	Restaurant/Cafe
NOTINO	Clothes / Accessories /Decoration
RESTAURACE	Restaurant/Cafe
UGO	Restaurant/Cafe
SKLIZENO	Groceries
Divadlo	Enterteinment
PERFECT	Restaurant/Cafe
DM	Drogeria
Billa	Groceries
TETA	Drogeria
DRACIK	Toys
Zabka	Kids Krouzky
INTERSPORT	Clothes / Accessories /Decoration
Lekarna	Pharmacy
Vklad	Income
Lindt	Groceries
Tchibo	Clothes / Accessories /Decoration
GOOGLE*YOUTUBEPREMIUM	Suscription
LEVNE	Clothes / Accessories /Decoration
RESERVED	Clothes / Accessories /Decoration
Ecco	Clothes / Accessories /Decoration
NYX*MIXAVENDINGsro	Restaurant/Café
ABOUTYOU.CZ	Clothes / Accessories /Decoration
REBELBEAN	Restaurant/Cafe
TIGER	Clothes / Accessories /Decoration
BOK	Restaurant/Cafe
MONTE	Category Table
SB	Restaurant/Cafe
KJM	Education
KOFIBOX	Coffee
SKILLSHARE	Education
FORNETTI	Other
KOMAR	Restaurant/Cafe
STUDENTAGENCY.CZ	Transportation
DPP	Transportation
IKEA	Furniture
SUMUP	Restaurant/Cafe
CAFFE	Restaurant/Cafe
KULT	Restaurant/Cafe
BISTRO	Restaurant/Cafe
WIKY	Toys
7-ELEVEN	Groceries
DRMAX.CZ	Pharmacy
MULTIKINO	Enterteinment
CHYTRA	Pharmacy
DRACIK	Toys
WTB	William&Thomas
REGIOJET.CZ	Transportation
BATA	Clothes / Accessories /Decoration
JYSK	Furniture
PHILIPS	Clothes / Accessories /Decoration
GATE	Clothes / Accessories /Decoration
VEREJNE	Transportation
VINOTEKA	Restaurant/Cafe
ARCTICA	Restaurant/Cafe
Kaufland 	Groceries
Vilgain	Groceries
Czech food Mahovsk√Ω	Groceries
Karlova pek√°rna	Groceries
Pek√°rna HEROLD	Groceries
